"data";"close";"open";"high";"low"
"12/11/2013";350.2;343.3;355.3;341.9
"13/11/2013";387.7;366.8;387.7;356.4
"14/11/2013";418;396.2;419.5;393.7
"15/11/2013";400;419.1;436.1;400
"16/11/2013";435.3;412;436;398.4
"17/11/2013";473.3;435.9;473.3;435.9
"18/11/2013";585.2;461;590.6;461
"19/11/2013";599;600;690.9;418.4
"20/11/2013";550;504.9;550;425.1
"21/11/2013";700;587;700;580
"22/11/2013";760;680;760;680
"23/11/2013";842.2;800.2;842.2;769.9
"24/11/2013";813.7;746.9;813.7;746.9
"25/11/2013";782.8;785.9;789;782.8
"26/11/2013";849.6;790.2;849.6;778
"27/11/2013";948;863.9;948.9;855
"28/11/2013";1010;955;1031.1;943.9
"29/11/2013";1107.5;1030;1124.4;1030
"30/11/2013";1112.4;1105.1;1115;1103.1
"01/12/2013";955;998.1;998.1;903
"02/12/2013";998.1;997.9;1031.1;960
"03/12/2013";1048;1048;1048;1048
"04/12/2013";1145;1065.5;1149.5;1065.5
"05/12/2013";1030.6;1129.8;1135;866
"06/12/2013";872.6;1028.2;1028.2;845.4
"07/12/2013";800.6;833.3;1200;632.3
"08/12/2013";730;717.1;758.5;682.2
"09/12/2013";935.8;871.4;945;849.4
"10/12/2013";1023;967.2;1030.4;958.5
"11/12/2013";921.8;1005.6;1005.6;890.7
"12/12/2013";900.5;878.9;915;878.9
"13/12/2013";912.6;911;954;909.1
"14/12/2013";897.9;904;909.7;889
"15/12/2013";864.9;891.2;891.2;850
"16/12/2013";704.8;896.8;896.8;699.6
"17/12/2013";731.9;712.2;759.8;643.9
"18/12/2013";551.4;668.8;668.8;408.7
"19/12/2013";702;545.6;716.4;521
"20/12/2013";599;702;732;599
"21/12/2013";607.7;655.4;656.7;589
"22/12/2013";622.1;590;669.6;590
"23/12/2013";640.4;650.2;653.2;640.4
"24/12/2013";647.3;662;668.7;646.8
"26/12/2013";740;680;741.3;680
"27/12/2013";718.9;757.5;757.7;709
"28/12/2013";701;726;732;701
"29/12/2013";714.3;710.7;714.3;710.7
"30/12/2013";737.2;735;740;730.2
"31/12/2013";727.7;731.5;731.5;715.7
"01/01/2014";740.3;740;757;733.5
"02/01/2014";775;746.2;775;740.2
"03/01/2014";812.1;801;812.1;801
"04/01/2014";801.8;806.5;806.5;801.8
"05/01/2014";904;839.5;904;839.5
"06/01/2014";934.5;910;950;900
"07/01/2014";791;928.7;928.7;791
"08/01/2014";828.5;781;838;771
"09/01/2014";850;833.7;850;794.9
"10/01/2014";834.7;833;834.7;833
"11/01/2014";896.9;899;900.3;895
"12/01/2014";888.1;892;892;888.1
"13/01/2014";818.4;846.6;857.3;818.4
"14/01/2014";826.9;827.8;833.4;815.1
"15/01/2014";839.7;835.5;842.2;833.7
"16/01/2014";824;847.1;847.1;822.4
"17/01/2014";789;820;820.7;789
"18/01/2014";800;810;815;799
"19/01/2014";830;819;830;814.2
"20/01/2014";823.4;831;831;795.2
"21/01/2014";810;810;824.7;794.2
"22/01/2014";807;807;807;807
"23/01/2014";816.2;819;820;804.3
"24/01/2014";781.9;800;800;773.2
"25/01/2014";810;795.8;810;789.4
"26/01/2014";809.7;804.2;823.9;731
"27/01/2014";760.3;810.9;810.9;757
"28/01/2014";795;779.8;812;770
"29/01/2014";800;789;800;783.6
"30/01/2014";803.9;794.4;803.9;785.4
"31/01/2014";800;801.7;803.3;791.8
"01/02/2014";814.6;801.9;814.6;801.9
"03/02/2014";810;806.8;814.1;801.7
"04/02/2014";813;810.8;813.2;808.3
"05/02/2014";791;807;808;791
"06/02/2014";771.6;793;793;768
"07/02/2014";720;750.3;755.1;677
"08/02/2014";690;700;716.4;690
"09/02/2014";710;702.6;720;702.6
"10/02/2014";706.3;720;739;642
"11/02/2014";658.9;739;761.7;653.3
"12/02/2014";685;691.1;691.1;650
"13/02/2014";634.3;671.9;671.9;630
"14/02/2014";682;622;724;565.2
"15/02/2014";653.4;652.9;655.7;650
"16/02/2014";608;650;650;608
"17/02/2014";663.8;626;663.8;626
"18/02/2014";628;660;660;622
"19/02/2014";630.4;634.2;638;628
"20/02/2014";578.9;633;633;574.8
"21/02/2014";568;565.2;591.5;548.5
"22/02/2014";595.2;587.6;602.8;563.7
"23/02/2014";619;597.7;624.1;597.7
"24/02/2014";562.4;597.3;597.3;562.4
"25/02/2014";515;554;567;425
"26/02/2014";582;548.7;594.5;544
"27/02/2014";579;592.5;592.5;565.7
"28/02/2014";565;575.5;590.3;544.9
"01/03/2014";568.2;565;571.8;560
"02/03/2014";560.6;570.9;583.5;560
"03/03/2014";658;571.5;685;569.7
"04/03/2014";668;654.7;675;652.6
"05/03/2014";675;658;675.8;658
"06/03/2014";663;673.4;675;657
"07/03/2014";621;663;663;614
"08/03/2014";614.1;621;621;600.2
"09/03/2014";621;610.5;621;609.4
"10/03/2014";615;621;621;612.8
"11/03/2014";615;615;615;613.5
"12/03/2014";650;615;650;615
"13/03/2014";642;633.5;645.1;633.5
"14/03/2014";630;632.9;639;630
"15/03/2014";641.6;636.9;641.6;636.9
"16/03/2014";635;640.1;640.1;635
"17/03/2014";624.3;635;635.7;624
"18/03/2014";618.4;623.1;623.9;610.9
"19/03/2014";611;622.9;622.9;611
"20/03/2014";583.5;610;639.2;583.5
"21/03/2014";568.8;581;605.4;568.8
"22/03/2014";560;560;562.9;550
"23/03/2014";566.2;570.3;570.3;566.2
"24/03/2014";590;560.4;590;552
"25/03/2014";582;586.6;586.7;579.1
"26/03/2014";595;580;595;570
"27/03/2014";498.5;582.4;589.3;498.5
"28/03/2014";497.4;525;525;490
"29/03/2014";491.9;506.2;507;491
"30/03/2014";464.1;493;493;440.4
"31/03/2014";452;478.6;485;443.1
"01/04/2014";482.8;460.3;486;451.4
"02/04/2014";443.3;479.2;490.5;435.8
"03/04/2014";448.8;440.6;462;422
"04/04/2014";450;441.5;458.1;434.2
"05/04/2014";460.8;453;460.8;445.2
"06/04/2014";453.7;463.3;463.3;453.7
"07/04/2014";454.2;460.2;463.6;445
"08/04/2014";448.8;454.5;458.3;448.8
"09/04/2014";442.5;455;455;440
"10/04/2014";370;440.2;440.2;370
"11/04/2014";416.3;355;427;325
"12/04/2014";415;417.8;430;412
"13/04/2014";404.2;415;415;404.2
"14/04/2014";459;403.1;464;403.1
"15/04/2014";515;453.4;515;453.4
"16/04/2014";522.3;510;522.8;499
"17/04/2014";500.7;519.5;522.3;491
"18/04/2014";490.5;499.4;504.4;483.6
"19/04/2014";505;488.2;510;484.7
"20/04/2014";512.5;510;512.5;510
"21/04/2014";497;509;510;495.8
"22/04/2014";488;499.5;501;488
"23/04/2014";490.2;494.9;494.9;480
"24/04/2014";497.5;486;497.5;480
"25/04/2014";460;493.1;494.4;446.2
"26/04/2014";459;467.4;470.5;453.9
"27/04/2014";441.5;460;460.5;441.5
"28/04/2014";448;434;448;433
"29/04/2014";434;438.7;450;431.5
"30/04/2014";448.3;446;450;440.5
"01/05/2014";459;450.8;463;450.8
"02/05/2014";453.5;459;459.6;447
"03/05/2014";440.5;452;452;432.6
"04/05/2014";430.9;439.5;440.6;430.9
"05/05/2014";427;436.4;439.9;426.5
"06/05/2014";430;426.5;431.5;419.8
"07/05/2014";438;430;448.7;425.9
"08/05/2014";442.8;440;447;439.5
"09/05/2014";446;440;452;439.5
"10/05/2014";451.1;452;452.3;449.1
"11/05/2014";432;449.6;449.6;430.5
"12/05/2014";440;434.5;441;433
"13/05/2014";437.3;439;439;433.7
"14/05/2014";444;437.3;444;432
"15/05/2014";442;440;442;438
"16/05/2014";442.3;442;443;442
"17/05/2014";442;443;443;435.4
"18/05/2014";438.8;438;438.8;436.3
"19/05/2014";439;434.8;440;423.8
"20/05/2014";476;440;480;440
"21/05/2014";477.6;480;480;475.8
"22/05/2014";502.3;476.5;507;475.8
"23/05/2014";509.5;507;529.8;500.8
"24/05/2014";502.3;500;505;500
"25/05/2014";566.2;507.8;572;507.8
"26/05/2014";575;569;580.1;563.2
"27/05/2014";570;575.6;580;557.7
"28/05/2014";577;570;580;563.4
"29/05/2014";573;570;575;567.9
"30/05/2014";629;590;629;590
"31/05/2014";635.6;621;635.6;618.6
"01/06/2014";646.5;638;687.3;625
"02/06/2014";669.5;647.1;675;623.9
"03/06/2014";682.9;673.1;693.9;665
"04/06/2014";652.3;681.3;681.3;640
"05/06/2014";663.3;651.8;670;650
"06/06/2014";655;661;666;654.7
"07/06/2014";663;646.8;663;646.8
"08/06/2014";662.3;664.8;668.2;660
"09/06/2014";653.7;663.9;663.9;653
"10/06/2014";653.6;654;663;647
"11/06/2014";637.1;657.3;657.3;637.1
"12/06/2014";590;636;640.1;569.1
"13/06/2014";582.6;586.9;615.6;570
"14/06/2014";554.4;584;584.5;545.3
"15/06/2014";571;565;571.8;549.3
"16/06/2014";580;580.8;601;580
"17/06/2014";614.3;578.8;614.3;577
"18/06/2014";611.5;615.5;621.1;603.8
"19/06/2014";602;608;613.8;600.3
"20/06/2014";601;595.9;603;591
"21/06/2014";601.6;597.3;601.6;592.2
"22/06/2014";607.8;605;620;605
"23/06/2014";599.3;609.7;609.7;592.5
"24/06/2014";587.3;595.9;595.9;585
"25/06/2014";568.1;585;585;568.1
"26/06/2014";577.9;573.5;578.8;572
"27/06/2014";606.2;582.7;606.2;582
"28/06/2014";600.1;602.5;610.5;600.1
"29/06/2014";603.7;603;607;601
"30/06/2014";640;605.5;646;605.5
"01/07/2014";650.8;650;662;643.9
"02/07/2014";647.9;650.6;654.9;641
"03/07/2014";643.6;649.5;652;640.7
"04/07/2014";632.2;650;650;628.5
"05/07/2014";630;635;636;630
"06/07/2014";633.3;634.6;636.8;630.5
"07/07/2014";624;630.5;635;615
"08/07/2014";618.5;623.3;626;611.1
"09/07/2014";620.2;620.7;624.7;616.3
"10/07/2014";610;618.5;620;608.5
"11/07/2014";625.5;610;625.5;609.9
"12/07/2014";626;625.1;630;623
"13/07/2014";624;626;626;621.5
"14/07/2014";622.4;621.7;624;616
"15/07/2014";620.9;621.3;624;617.9
"16/07/2014";621;620;631.7;614
"17/07/2014";627.6;622;631.1;619
"18/07/2014";627.5;626.4;627.5;616.8
"19/07/2014";625.3;627.2;627.2;618
"20/07/2014";618.9;623.3;623.3;617
"21/07/2014";619.8;621;621.8;605
"22/07/2014";612.6;620;624;605.5
"23/07/2014";617.2;612;618.6;610
"24/07/2014";600.3;616.8;616.9;593.2
"25/07/2014";598;600.9;605.3;595
"26/07/2014";594;599;599;590.2
"27/07/2014";590.5;594.3;595;590
"28/07/2014";586.4;585;588;571
"29/07/2014";575;580;585.7;566.2
"30/07/2014";551;575.4;575.8;550
"31/07/2014";579;554;586;553.5
"01/08/2014";594.9;578;606.1;100
"02/08/2014";587.8;593.3;593.3;583.7
"03/08/2014";582.1;583.9;583.9;578.3
"04/08/2014";581.1;583.1;587.8;581.1
"05/08/2014";575;582;584;574.2
"06/08/2014";577.5;575.3;583.7;574.3
"07/08/2014";582.3;577.5;583.3;577.5
"08/08/2014";586.4;582.9;587.6;582.9
"09/08/2014";583.3;583;583.9;581.3
"10/08/2014";580;581.9;586.4;580
"11/08/2014";572.5;582.7;583.2;572.5
"12/08/2014";566;570;570.5;563
"13/08/2014";549;567.6;567.7;530.5
"14/08/2014";510;549;549;503
"15/08/2014";506.2;517.3;525;490
"16/08/2014";527.2;502.7;527.8;489.5
"17/08/2014";501.3;525.4;527;490.1
"18/08/2014";478.2;504.2;506.7;462.4
"19/08/2014";490.3;470;498;470
"20/08/2014";517;492.1;525;471.7
"21/08/2014";515.9;515.6;529;510
"22/08/2014";515.6;518.4;521.5;502
"23/08/2014";500.1;510.5;511.6;499
"24/08/2014";507.3;500.7;512.8;500
"25/08/2014";502.5;506.3;511;498.2
"26/08/2014";508.4;507;514.7;505.5
"27/08/2014";511;512.9;518;511
"28/08/2014";507.8;512;513.3;506.6
"29/08/2014";507.5;506;510.1;503
"30/08/2014";499;506.9;506.9;499
"31/08/2014";483.4;503.1;504;482.3
"01/09/2014";485.8;487.4;489.5;479.1
"02/09/2014";476.8;481.6;485.8;475
"03/09/2014";474;478.5;478.9;473.4
"04/09/2014";489.2;473.7;494.3;473.3
"05/09/2014";477.6;487.1;488.6;477.6
"06/09/2014";481.3;481.4;485;479.6
"07/09/2014";479.7;481.1;483.6;479.7
"08/09/2014";470.4;476.7;478.1;462.2
"09/09/2014";472.7;471;475.5;463.3
"10/09/2014";477.3;474;487;473.3
"11/09/2014";477.1;479.6;480.8;470.1
"12/09/2014";471.8;475.7;477.9;467.8
"13/09/2014";478.1;471.2;480.8;470.8
"14/09/2014";476.5;477.2;479.1;474.3
"15/09/2014";469.9;476.5;478.8;469.9
"16/09/2014";465.1;466.8;475.1;464.4
"17/09/2014";456.8;465.7;469;450.4
"18/09/2014";427.2;456.7;460;412
"19/09/2014";395.3;426.8;428.4;389.9
"20/09/2014";411.6;396.5;427.3;392.5
"21/09/2014";400.7;409.3;412.5;394.2
"22/09/2014";397.7;400.1;406.2;394
"23/09/2014";429.1;398.9;440.5;395.4
"24/09/2014";420.4;426.7;430;408.6
"25/09/2014";409.1;420.6;420.6;404
"26/09/2014";403;411.2;414.8;397
"27/09/2014";397.3;400.4;405;395.1
"28/09/2014";374.7;398.8;399.4;370
"29/09/2014";369.6;376.8;383;367.3
"30/09/2014";387.1;374.2;392.1;372
"01/10/2014";383;387;389;377
"02/10/2014";371.7;383.1;385.5;370.3
"03/10/2014";357.7;371.5;375.1;356.4
"04/10/2014";328.7;359.6;364.8;322.4
"05/10/2014";322.5;327.6;341.2;285.1
"06/10/2014";323.8;320.2;345.5;303.1
"07/10/2014";331;330.5;334.6;315.8
"08/10/2014";350;332.1;351;325
"09/10/2014";363.5;349.1;375.7;346
"10/10/2014";359.5;363.7;375;352.4
"11/10/2014";361.3;358.9;366;352.3
"12/10/2014";372;361.9;375;354.3
"13/10/2014";383.4;367.1;391;363.3
"14/10/2014";397.9;388;405.8;385.9
"15/10/2014";393.5;392.7;397.9;379.3
"16/10/2014";379.3;395;395;372.2
"17/10/2014";380.3;380.7;385.7;371.9
"18/10/2014";390;379.1;391.8;377
"19/10/2014";386.3;386.3;389.1;384.3
"20/10/2014";381;385.9;386.8;374.6
"21/10/2014";382.8;380.7;387.8;378.2
"22/10/2014";380;382.9;385.5;379.7
"23/10/2014";356;379.7;381;353
"24/10/2014";356.1;356.1;359.9;349
"25/10/2014";347.4;356.8;357.5;342.3
"26/10/2014";350;346.8;356.3;344
"27/10/2014";350.6;351.1;355;346.5
"28/10/2014";353.1;351.2;353.2;349
"29/10/2014";333.2;352.2;352.3;333.2
"30/10/2014";343.9;334.6;350.6;333
"31/10/2014";337;344.9;346.5;336.6
"01/11/2014";327.2;337.7;338.4;321.7
"02/11/2014";322.5;327;329.4;321.3
"03/11/2014";323.6;324.3;335.5;323.3
"04/11/2014";326.9;323.6;330.2;321.8
"05/11/2014";337.5;330.8;341;321
"06/11/2014";348.5;337.8;349.7;335.5
"07/11/2014";341.5;348.5;350;341.1
"08/11/2014";345;342;345;340.5
"09/11/2014";360;343.7;360;342.5
"10/11/2014";368;360;372.5;355
"11/11/2014";367;366.5;367.2;361.3
"12/11/2014";417.9;375;431.1;375
"13/11/2014";419.4;428.3;445;387.5
"14/11/2014";399.1;410;414.6;385
"15/11/2014";376.5;400.5;406.3;371
"16/11/2014";388.2;380.6;391.9;380.3
"17/11/2014";387.6;388.9;407;376
"18/11/2014";370;388.6;390.9;370
"19/11/2014";379.2;373.1;381.6;372.1
"20/11/2014";355.9;380.5;380.6;353.4
"21/11/2014";349.3;353.5;356;346.1
"22/11/2014";346.4;350.9;360.3;346.1
"23/11/2014";360.6;347.5;360.6;346.7
"24/11/2014";373.2;365.3;387;327.8
"25/11/2014";375.8;373.5;390;373.1
"26/11/2014";367.9;377;378.3;365.8
"27/11/2014";369.6;369.3;373.5;368.1
"28/11/2014";375.6;369.9;380.3;359.5
"29/11/2014";374.5;375.3;383;372
"30/11/2014";376.7;374.7;380.3;373.1
"01/12/2014";377.6;376.7;380;374.9
"02/12/2014";382;377.4;382.6;376.9
"03/12/2014";375.7;381.4;383.1;374.3
"04/12/2014";370.3;375.8;378.9;364.8
"05/12/2014";378.4;368.8;380.6;367.2
"06/12/2014";372.8;378;379.1;371.1
"07/12/2014";374.4;373.9;376.7;370.9
"08/12/2014";363.3;375.2;375.6;361.7
"09/12/2014";353.9;363.2;364.4;345.5
"10/12/2014";346.9;354;356.2;343.5
"11/12/2014";350;346.6;363.3;343.6
"12/12/2014";352.8;350.4;357;349.9
"13/12/2014";350.9;352.6;352.6;348.3
"14/12/2014";352.7;350.6;356.8;347
"15/12/2014";347.2;354.1;354.1;346.3
"16/12/2014";330.6;348.1;348.1;330.6
"17/12/2014";318.2;333.4;337;315
"18/12/2014";308.3;318.6;321.1;303.6
"19/12/2014";315.7;309.3;317;306
"20/12/2014";329.1;315.8;330;314.9
"21/12/2014";317.2;328.4;328.4;316.9
"22/12/2014";329;318.2;329.2;317.5
"23/12/2014";332.9;330;335.2;326.1
"24/12/2014";322.8;333.6;334.3;322.8
"25/12/2014";319;322.6;323.1;317.9
"26/12/2014";328.5;319.2;329.8;317.5
"27/12/2014";315.9;327.1;327.1;312.7
"28/12/2014";317.5;317.3;318.6;312
"29/12/2014";311.9;319.6;321.5;311.9
"30/12/2014";308.8;314.4;315.3;307.9
"31/12/2014";317;309;317.6;308.6
"01/01/2015";313.9;317.5;317.5;312.9
"02/01/2015";315.1;313.6;316;313
"03/01/2015";282;314.8;314.8;282
"04/01/2015";258.8;282;288.9;258.8
"05/01/2015";273.2;261;276.5;260.5
"06/01/2015";285.4;273.2;287.8;268.5
"07/01/2015";297;286.1;303.8;285
"08/01/2015";285.6;296.2;296.2;285.6
"09/01/2015";292.8;285.4;295.6;283
"10/01/2015";275;292.4;292.4;271
"11/01/2015";266.2;274.8;280;265
"12/01/2015";267.6;267.2;281;265.5
"13/01/2015";229.8;267.3;267.6;222.5
"14/01/2015";183.2;230.3;230.5;164.9
"15/01/2015";217.7;181.1;234.5;176.5
"16/01/2015";206.7;216;225;200
"17/01/2015";201.2;207.2;211;198.2
"18/01/2015";209.9;202.9;218.3;197.1
"19/01/2015";213.2;211.2;216.2;208.8
"20/01/2015";218;215;218;208
"21/01/2015";225.5;219;225.5;219
"22/01/2015";226.3;245.5;257.7;216.6
"23/01/2015";235;230;235;215
"24/01/2015";240;215;250.6;215
"25/01/2015";254.5;248;256.3;245.3
"26/01/2015";274.5;262.8;322.7;241.4
"27/01/2015";263.6;274.7;278.5;244
"28/01/2015";236.1;264;266;228.5
"29/01/2015";235;235.9;242;221.1
"30/01/2015";229.1;235;244.6;227.9
"31/01/2015";218.4;229;234.7;217.1
"01/02/2015";229;218.7;233.8;210
"02/02/2015";237.8;228.4;240.1;220.9
"03/02/2015";228.6;237;243.9;225.3
"04/02/2015";227.1;228.8;231;221.5
"05/02/2015";216.8;227.1;228.9;215
"06/02/2015";223.2;216.8;226.6;216
"07/02/2015";229;223.2;230.5;222.7
"08/02/2015";224;229.2;231.6;220
"09/02/2015";221.1;224;225;216.4
"10/02/2015";220.9;221.1;222;215
"11/02/2015";219.8;221.4;223.3;218.1
"12/02/2015";222.4;220;223.2;217.8
"13/02/2015";236.1;222.6;242.5;221.5
"14/02/2015";257.2;236.1;261.2;235.5
"15/02/2015";235.9;257;268.3;228.2
"16/02/2015";233.6;235.9;243.3;229
"17/02/2015";244;233.5;246.3;231.5
"18/02/2015";236.3;244;245;231.7
"19/02/2015";240.2;236.3;243.4;235
"20/02/2015";244.5;240;248.3;238.9
"21/02/2015";245.6;244.5;247.7;243.3
"22/02/2015";236.5;245.5;247.8;232.4
"23/02/2015";239.4;236.5;241;232.6
"24/02/2015";239.7;239.4;241;236.7
"25/02/2015";238;239.7;240.8;235.6
"26/02/2015";236.9;238;238.3;233.8
"27/02/2015";255;236.9;262.6;236.6
"28/02/2015";255.7;255.1;257.4;251.3
"01/03/2015";262.4;255.7;266;245.8
"02/03/2015";277.3;262.4;279.6;259.2
"03/03/2015";283.8;277.3;290.3;268
"04/03/2015";273.3;283.8;286;267.4
"05/03/2015";277.7;273.3;284.5;262.9
"06/03/2015";273.2;277.7;277.9;269.7
"07/03/2015";277;273.4;280;270.6
"08/03/2015";275.6;277;278.7;272
"09/03/2015";291;275.6;295;279
"10/03/2015";292.7;291;303.8;290
"11/03/2015";296.7;292.6;298.7;291.1
"12/03/2015";295.6;296.7;298.8;292.4
"13/03/2015";283.3;295.5;295.9;282.1
"14/03/2015";282.6;283.2;287.5;281.4
"15/03/2015";286.9;282.6;287.8;283.4
"16/03/2015";291.2;286.9;295.1;289.3
"17/03/2015";285.3;291.2;292.8;283
"18/03/2015";257.3;285.1;285.2;249
"19/03/2015";261.9;257.3;267.9;248.1
"20/03/2015";262.2;262;267;259.4
"21/03/2015";260.5;262.2;263;255.5
"22/03/2015";268.8;260.5;270.8;259.8
"23/03/2015";267.2;268.8;271.5;262
"24/03/2015";246;267.2;268.4;241.5
"25/03/2015";245.9;246;250;235.7
"26/03/2015";249.2;246.3;255;246.3
"27/03/2015";246.5;249.2;250.4;245.3
"28/03/2015";252.9;246.5;255.4;246.5
"29/03/2015";242.4;252.9;250;239.5
"30/03/2015";247.9;242.7;248.7;246.9
"31/03/2015";244.3;247.9;248.8;242
"01/04/2015";246.9;244.5;248.5;239.5
"02/04/2015";253.2;246.9;254.9;244.6
"03/04/2015";254.2;253.2;256.4;250.7
"04/04/2015";253.6;254.2;255.7;250.4
"05/04/2015";260.5;253.6;261.3;251.6
"06/04/2015";255.6;260.5;262.4;253.7
"07/04/2015";253.7;255.6;257.9;253
"08/04/2015";244.9;253.7;255;243.1
"09/04/2015";243.6;244.9;246.8;236.5
"10/04/2015";236.1;243.6;243.7;230.8
"11/04/2015";236.9;236.1;240;233.8
"12/04/2015";236.4;236.9;238.7;232.8
"13/04/2015";225;236.4;237.7;220.3
"14/04/2015";220.2;225;225.8;216.4
"15/04/2015";224;220.2;224;219
"16/04/2015";228.5;224;230;223
"17/04/2015";222.4;228.5;229;219.6
"18/04/2015";223.1;222.4;224.2;219.9
"19/04/2015";222.2;223.1;226.8;222.1
"20/04/2015";224.2;222.2;227;221.5
"21/04/2015";235.8;224.2;236.2;224.2
"22/04/2015";234.1;237;239;232.4
"23/04/2015";236;234.1;237;233
"24/04/2015";231.4;236;236.2;228.7
"25/04/2015";226.1;231.4;232.7;225.8
"26/04/2015";219.7;226.1;221.5;214
"27/04/2015";227.7;219.7;232;218.2
"28/04/2015";225.3;227.1;228.1;222.2
"29/04/2015";225.2;225.3;227.8;222.7
"30/04/2015";236.1;225.2;240.2;224.6
"01/05/2015";231.8;236.1;239.2;231.3
"02/05/2015";234.8;231.8;235.8;231.8
"03/05/2015";240.7;234.8;243.7;235.7
"04/05/2015";238.5;240.6;243.6;237
"05/05/2015";235.9;238.5;239.4;231.1
"06/05/2015";229.3;235.9;236.8;227.3
"07/05/2015";237.3;229.3;239.8;227.8
"08/05/2015";244.5;237.3;248.5;236.2
"09/05/2015";242.5;244.5;249.1;240.1
"10/05/2015";240.6;242.5;245.9;238.8
"11/05/2015";242.5;240.7;245.5;238.5
"12/05/2015";241.8;242.5;244.4;240.9
